BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 4_Wandering Albatross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2025 09:38:01:924 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,Denominator-For-Relationship-Between-DR-and-MinSep,Species1,S1-Dist-Food-Meters,S1-Olfaction,S1-DR,Species2,S2-Dist-Food-Meters,S2-DR,S2-Olfaction,S1-Body-Length-Meters,S1-Flight-Speed-MpS,S2-Flight-Speed-MpS,S2-Body-Length-Meters,N-Species1,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(allfoundodor),(count turtles),(count turtles with [did-find-food = 1 and species = 1]),(count turtles with [did-find-food = 1 and species = 2]),N-Species2
8,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,8,382,0,0,0,0,0,50
23,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,23,344,0,0,0,0,0,50
18,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,18,381,0,0,0,0,0,50
28,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,28,443,0,0,0,0,0,50
19,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,19,343,0,0,0,0,0,50
2,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,2,549,0,0,0,0,0,50
30,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,30,364,0,0,0,0,0,50
7,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,7,358,0,0,0,0,0,50
33,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,33,380,0,0,0,0,0,50
13,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,1.2,15,15,1.2,0,Network Foraging,13,364,0,0,0,0,0,50
